Author	n (strains)	publication title	journal	publication URL	strains
Sergey A. Bodnev et al	6	unknown	unknown	unknown	Crimea/SRC-80603/2020,Russia/Buryatia-86204/2020,Russia/Buryatia-87105/2020,Russia/Buryatia-87106/2020,Russia/Primorskiy-79001/2020,Russia/Tatarstan-82208/2020
Samoilov AE et al	15	unknown	unknown	unknown	Russia/CRIE4991529/2020,Russia/CRIE7249896/2020,Russia/MOS-CRIE-13385510/2020,Russia/MOS-CRIE-13385401/2020,Russia/MOS-CRIE-13681164/2020,Russia/CRIE7158368/2020,Russia/MOS-CRIE-13298544/2020,Russia/MOS-CRIE-13386579/2020,Russia/MOS-CRIE-13363841/2020,Russia/MOS-CRIE7162018/2020,Russia/MOS-CRIE-13652759/2020,Russia/MOS-CRIE-13594312/2020,Russia/ARK-CRIE-7602087559/2020,Russia/ARK-CRIE-7602093151/2020,Russia/MOS-CRIE7165818/2020
Sandonís et al	2	unknown	unknown	unknown	Spain/CT-ISCIII-210895/2020,Spain/CT-ISCIII-210896/2020
María de Toro et al	3	unknown	unknown	unknown	Spain/RI-IBV-99015993/2020,Spain/RI-IBV-99015994/2020,Spain/RI-IBV-99020532/2021
Andrea Vergara et al	2	unknown	unknown	unknown	Spain/CT-IBV-99012673/2020,Spain/CT-IBV-98014708/2021
Giorgio Giurato et al	8	unknown	unknown	unknown	Italy/CAM-CRGS-236/2020,Italy/CAM-CRGS-141/2020,Italy/CAM-CRGS-416/2021,Italy/CAM-CRGS-230/2020,Italy/CAM-CRGS-331/2020,Italy/CAM_CRGS_2/2020,Italy/CAM-CRGS-297/2020,Italy/CAM-CRGS-216/2020
Gustavo Cilla Eguiluz et al	1	unknown	unknown	unknown	Spain/PV-IBV-98008363/2020
Albert Bernet Sánchez et al	1	unknown	unknown	unknown	Spain/CT-IBV-98016366/2021
Björn Hallström et al	15	unknown	unknown	unknown	Sweden/SUS0000196/2021,Sweden/SUS0000203/2021,Sweden/SUS0000202/2021,Sweden/SUS0000205/2021,Sweden/SUS0000210/2021,Sweden/SUS0000206/2021,Sweden/SUS0000207/2021,Sweden/SUS0000208/2021,Sweden/SUS0000024/2021,Sweden/SUS0000209/2021,Sweden/SUS0000195/2021,Sweden/SUS0000211/2021,Sweden/SUS0000199/2021,Sweden/SUS0000204/2021,Sweden/SUS0000200/2021
Massimo Biagetti et al	4	unknown	unknown	unknown	Italy/UMB-IZSUM-56827-17/2020,Italy/UMB-IZSUM-3696/2020,Italy/UMB-IZSUM-4108/2020,Italy/UMB-IZSUM-301893/2020
Scutellà M et al	1	unknown	unknown	unknown	Italy/MOL-IZSGC-72053-1-19/2021
Antonio Grimaldi Patrizia Annunziata Francesco Panariello Biancamaria Pierri Valentina Bouche Chiara Colantuono Maria Concetta Cuomo Denise Di Concilio Lucio Di Filippo Anna Manfredi Marcello Salvi Antonio Limone Pellegrino Cerino Andrea Ballabio Davide Cacchiarelli et al	1	unknown	unknown	unknown	Italy/CAM-TIGEM-4581/2021
Biagetti M. et al	1	unknown	unknown	unknown	Italy/UMB-IZSGC-96118-1-46/2021
Vázquez-Morón et al	4	unknown	unknown	unknown	Spain/GA-ISCIII-210718/2021,Spain/GA-ISCIII-210720/2021,Spain/GA-ISCIII-210719/2021,Spain/CM-ISCIII-210076/2021
Manh Huy Dao et al	1	unknown	unknown	unknown	Vietnam/PIHCM-1564/2020
Antonio Rezusta López et al	6	unknown	unknown	unknown	Spain/AR-IBV-98008159/2020,Spain/AR-IBV-98008133/2020,Spain/AR-IBV-98008125/2020,Spain/AR-IBV-98005684/2020,Spain/AR-IBV-98005657/2020,Spain/AR-IBV-98005659/2020
Maripaz Ventero Martín et al	4	unknown	unknown	unknown	Spain/VC-IBV-99016692/2021,Spain/VC-IBV-99016650/2021,Spain/VC-IBV-99016686/2021,Spain/VC-IBV-99016695/2021
Antonio Moreno Docón et al	1	unknown	unknown	unknown	Spain/MC-IBV-98016474/2020
Carla López-Causapé et al	19	unknown	unknown	unknown	Spain/IB-IBV-99011552/2020,Spain/IB-IBV-99012762/2020,Spain/IB-IBV-99011591/2020,Spain/IB-IBV-99011574/2020,Spain/IB-IBV-99011586/2020,Spain/IB-IBV-99012838/2020,Spain/IB-IBV-99012850/2020,Spain/IB-IBV-99012791/2020,Spain/IB-IBV-99007252/2020,Spain/IB-IBV-99007182/2020,Spain/IB-IBV-99010784/2020,Spain/IB-IBV-99022091/2021,Spain/IB-IBV-h2551/2020,Spain/IB-IBV-99010817/2020,Spain/IB-IBV-99010811/2020,Spain/IB-IBV-99010812/2020,Spain/IB-IBV-99010816/2020,Spain/IB-IBV-99010813/2020,Spain/IB-IBV-99010814/2020
Giorgio Giurato (Corresponding Author) et al	9	unknown	unknown	unknown	Italy/CAM-CRGS-146/2020,Italy/CAM-CRGS-90/2020,Italy/CAM-CRGS-97/2020,Italy/CAM-CRGS-69/2020,Italy/CAM-CRGS-21/2020,Italy/CAM-CRGS-84/2020,Italy/CAM-CRGS-18/2020,Italy/CAM-CRGS-117/2020,Italy/CAM-CRGS-72/2020
Jose Mª González-Alba et al	7	unknown	unknown	unknown	Spain/MD-IBV-99018531/2020,Spain/MD-IBV-99018534/2020,Spain/MD-IBV-99018545/2020,Spain/MD-IBV-99018535/2020,Spain/MD-IBV-99018551/2020,Spain/MD-IBV-99018541/2020,Spain/MD-IBV-99018539/2020
Rafael Benito et al	1	unknown	unknown	unknown	Spain/AR-IBV-97009524/2020
Laurens Lambrechts et al	6	unknown	unknown	unknown	Belgium/UGent-277/2020,Belgium/UGent-132/2020,Belgium/UGent-128/2020,Belgium/UGent-126/2020,Belgium/UGent-155/2020,Belgium/UGent-149/2020
Gytis Dudas et al	33	unknown	unknown	unknown	Lithuania/IDS21B13/2021,Lithuania/ID913/2020,Lithuania/ID1297/2020,Lithuania/ID2197/2020,Lithuania/ID1731/2020,Latvia/ID3126/2020,Lithuania/ID6498/2021,Lithuania/IDS21B15/2021,Lithuania/IDS21B3/2021,Lithuania/IDS21B8/2021,Lithuania/IDS21B12/2021,Lithuania/IDS21B7/2021,Lithuania/IDS21B4/2021,Lithuania/IDS21B11/2021,Lithuania/IDS21B10/2021,Lithuania/IDS21B1/2021,Lithuania/IDS21B2/2021,Lithuania/IDS21B6/2021,Lithuania/IDS21B5/2021,Lithuania/IDS21B9/2021,Lithuania/ID7551/2021,Lithuania/ID7552/2021,Lithuania/ID7575/2021,Lithuania/ID1905/2020,Lithuania/ID6439/2021,Lithuania/ID7225/2021,Lithuania/ID7636/2021,Lithuania/ID6849/2021,Lithuania/ID6379/2021,Lithuania/ID6387/2021,Lithuania/ID7600/2021,Lithuania/ID6377/2021,Lithuania/ID917/2020
Gabriela Moura et al	1	unknown	unknown	unknown	Portugal/PT3117/2021
Claudia Alteri et al	5	unknown	unknown	unknown	Italy/LOM-UniMI-L99/2020,Italy/LOM-UniMI-L276/2020,Italy/LOM-UniMI-L60/2020,Italy/LOM-UniMI-L256/2020,Italy/LOM-UniMI-L347/2020
The Lighthouse Lab in Milton Keynes et al	48	unknown	unknown	unknown	England/MILK-9749D6/2020,England/MILK-A7B0BB/2020,England/MILK-BDC15A/2020,England/MILK-A7A84B/2020,England/MILK-A7A7F3/2020,England/MILK-ACCFBE/2020,England/MILK-ABB7BA/2020,England/MILK-9AB226/2020,England/MILK-99C47D/2020,England/MILK-99C46E/2020,England/MILK-B8C863/2020,England/MILK-136DEB6/2021,England/MILK-136D320/2021,England/MILK-136D399/2021,England/MILK-1286AA5/2021,England/MILK-129C2FF/2021,England/MILK-121AFD4/2021,England/MILK-13707A6/2021,England/MILK-A7C6C7/2020,England/MILK-EC5CBA/2021,England/MILK-B38D49/2020,England/MILK-C5064F/2020,England/MILK-A7BB7E/2020,England/MILK-ACF3BF/2020,England/MILK-AC8477/2020,England/MILK-ACD74C/2020,England/MILK-11767C0/2021,England/MILK-99DF7B/2020,England/MILK-99DF8A/2020,England/MILK-69ECA3/2020,England/MILK-639CF5/2020,England/MILK-63A025/2020,England/MILK-6ABF04/2020,England/MILK-6285D0/2020,England/MILK-61AB75/2020,England/MILK-55C079/2020,England/MILK-822D18/2020,England/MILK-83E64B/2020,England/MILK-83DCA4/2020,England/MILK-EBDEA0/2021,England/MILK-970794/2020,England/MILK-9EE7CE/2020,England/MILK-9E1FA5/2020,England/MILK-9E04B6/2020,England/MILK-9E334D/2020,England/MILK-9D4A0E/2020,England/MILK-9F0C24/2020,England/MILK-9F077E/2020
Petr Klempt et al	39	unknown	unknown	unknown	CzechRepublic/IAB20_016_234/2020,CzechRepublic/IAB20_016_034/2020,CzechRepublic/IAB20_016_037/2020,CzechRepublic/IAB20_016_027/2020,CzechRepublic/IAB20-016-001/2020,CzechRepublic/IAB20_016_002/2020,CzechRepublic/IAB20_016_221/2020,CzechRepublic/IAB20_016_022/2020,CzechRepublic/IAB20_016_021/2020,CzechRepublic/IAB20_016_123/2020,CzechRepublic/IAB20_016_111/2020,CzechRepublic/IAB20_016_089/2020,CzechRepublic/IAB20_016_090/2020,CzechRepublic/IAB20_016_091/2020,CzechRepublic/IAB20_006_37/2020,CzechRepublic/IAB20_006_38/2020,CzechRepublic/IAB20_006_26/2020,CzechRepublic/IAB20_016_003/2020,CzechRepublic/IAB20_016_203/2020,CzechRepublic/IAB20_016_038/2020,CzechRepublic/IAB20_016_006/2020,CzechRepublic/IAB20_016_014/2020,CzechRepublic/IAB20_016_214/2020,CzechRepublic/IAB20_016_039/2020,CzechRepublic/IAB20_016_033/2020,CzechRepublic/IAB20_016_046/2020,CzechRepublic/IAB20_016_036/2020,CzechRepublic/IAB20_016_029/2020,CzechRepublic/IAB20_016_045/2020,CzechRepublic/IAB20_016_024/2020,CzechRepublic/IAB20_016_010/2020,CzechRepublic/IAB20_016_009/2020,CzechRepublic/IAB20_016_015/2020,CzechRepublic/IAB20_016_068/2020,CzechRepublic/IAB20_016_061/2020,CzechRepublic/IAB20_016_013/2020,CzechRepublic/IAB20_016_066/2020,CzechRepublic/IAB20_016_067/2020,CzechRepublic/IAB20_016_031/2020
Rimoldi SG et al	2	unknown	unknown	unknown	Italy/LOM-ASST-20/2020,Italy/LOM-ASST-4/2020
Naranzul Ts et al	1	unknown	unknown	unknown	Mongolia/Imp3989/2020
Carlos Padilla Rojas et al	30	unknown	unknown	unknown	Peru/LIM-INS-002/2020,Peru/LIM-INS-003/2020,Peru/CUS-INS-065/2020,Peru/LIM-INS-054/2020,Peru/JUN-INS-047/2020,Peru/LIM-INS-269/2020,Peru/LIM-INS-046/2020,Peru/LIM-INS-042/2020,Peru/LIM-INS-031/2020,Peru/LIM-INS-173/2020,Peru/LIM-INS-739/2021,Peru/LIM-INS-738/2021,Peru/LOR-INS-268/2020,Peru/LOR-INS-265/2020,Peru/LIM-INS-741/2020,Peru/ICA-INS-258/2020,Peru/LIM-INS-745/2020,Peru/LIM-INS-033/2020,Peru/JUN-INS-185/2020,Peru/LIM-INS-748/2020,Peru/LIM-INS-755/2020,Peru/LIM-INS-742/2020,Peru/LIM-INS-750/2020,Peru/LIM-INS-188/2020,Peru/LIM-INS-183/2020,Peru/ICA-INS-267/2020,Peru/LIM-INS-284/2020,Peru/LIM-INS-746/2020,Peru/CAL-INS-747/2020,Peru/PIU-INS-741/2020
Ronnie Gavilan Chavez et al	36	unknown	unknown	unknown	Peru/LIM-INS-312/2020,Peru/LIM-INS-337/2020,Peru/LIM-INS-354/2020,Peru/LIM-INS-476/2020,Peru/LIM-INS-481/2020,Peru/LIM-INS-435/2020,Peru/LIM-INS-369/2020,Peru/LIM-INS-485/2020,Peru/LIM-INS-414/2020,Peru/LIM-INS-377/2020,Peru/LIM-INS-373/2020,Peru/LIM-INS-523/2020,Peru/LIM-INS-528/2020,Peru/LOR-INS-590/2020,Peru/LOR-INS-565/2021,Peru/LOR-INS-606/2021,Peru/HUA-INS-678/2020,Peru/LIM-INS-411/2020,Peru/LIM-INS-370/2020,Peru/LIM-INS-515/2020,Peru/LIM-INS-513/2020,Peru/LIM-INS-514/2020,Peru/LIM-INS-394/2021,Peru/LIM-INS-396/2021,Peru/HUA-INS-676/2020,Peru/LOR-INS-561/2021,Peru/HUA-INS-681/2020,Peru/LIM-INS-391/2021,Peru/LOR-INS-554/2021,Peru/LIM-INS-447/2021,Peru/CAL-INS-650/2020,Peru/LIM-INS-317/2020,Peru/CAL-INS-662/2020,Peru/LIM-INS-519/2020,Peru/LIM-INS-524/2020,Peru/LIM-INS-299/2020
Pablo Tsukayama et al	28	unknown	unknown	unknown	Peru/LIM-UPCH-0066/2020,Peru/CAL-UPCH-0013/2020,Peru/CAL-UPCH-0047/2020,Peru/CAL-UPCH-0036/2020,Peru/CAL-UPCH-0037/2020,Peru/LIM-UPCH-0030/2020,Peru/LIM-UPCH-0004/2020,Peru/LIM-UPCH-0131/2020,Peru/LIM-UPCH-0084/2020,Peru/LIM-UPCH-0194/2020,Peru/LIM-UPCH-0176/2020,Peru/LIM-UPCH-0205/2020,Peru/LIM-UPCH-0141/2020,Peru/LIM-UPCH-0096/2020,Peru/AMA-UPCH-0277/2020,Peru/AMA-UPCH-0263/2020,Peru/AMA-UPCH-0262/2020,Peru/AMA-UPCH-0270/2020,Peru/LIM-UPCH-0167/2020,Peru/LIM-UPCH-0165/2020,Peru/LIM-UPCH-0208/2020,Peru/LIM-UPCH-0184/2020,Peru/LIM-UPCH-0331/2020,Peru/ANC-UPCH-0299/2020,Peru/LIM-UPCH-0242/2020,Peru/LIM-UPCH-0293/2020,Peru/LIM-UPCH-0295/2020,Peru/LIM-UPCH-0238/2020
Laubscher F. et al	7	unknown	unknown	unknown	Switzerland/GE-HUG-6065/2020,Switzerland/AG-HUG-7120/2020,Switzerland/GE-HUG-1402/2020,Switzerland/GE-HUG-0199/2020,Switzerland/GR-HUG-2988/2020,Switzerland/GR-HUG-3043/2020,Switzerland/GE-HUG-VD0503/2020
Potdar V et al B	6	unknown	unknown	unknown	India/MH-NIV-2387/2020,India/MH-NIV-VOC-172/2020,India/GJ-NIV-VOC-176/2020,India/OR-NIV-VOC-6/2020,India/MH-NIV-210557/2020,India/MH-NIV-210934/2020
Joan Marti-Carerras et al	1	A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages	unknown	https://dx.doi.org/10.1101/2020.05.05.078758	Belgium/KA-03042/2020
Jonas Schmidt et al	4	unknown	unknown	unknown	Germany/BW-MVZ-LS-13/2020,Germany/BW-MVZ-LS-19/2020,Germany/BW-MVZ-LS-21/2020,Germany/BW-MVZ-LS-42/2020
Caspar Gross et al	4	unknown	unknown	unknown	Germany/BW-UKT-a112/2020,Germany/BW-UKT-a117/2020,Germany/BW-UKT-a092/2020,Germany/BW-UKT-a017/2020
Rasmus Kirkegaard et al	12	unknown	unknown	unknown	Denmark/ALAB-SSI-707/2020,Denmark/ALAB-HH-173/2020,Denmark/ALAB-SSI117/2020,Denmark/ALAB-SSI-245/2020,Denmark/ALAB-HH-156/2020,Denmark/ALAB-HH-119/2020,Denmark/ALAB-HH-128/2020,Denmark/ALAB-HH-195/2020,Denmark/ALAB-SSI109/2020,Denmark/ALAB-SSI469/2020,Denmark/ALAB-SSI235/2020,Denmark/ALAB-SSI216/2020
Licastro D et al A	4	unknown	unknown	unknown	Italy/FVG-ICGEB-S204/2020,Italy/FVG-ICGEB-S205/2020,Italy/FVG-ASUGI-156885/2020,Italy/FVG-ASUGI-156882/2020
Pragya D. Yadav et al B	2	Genomic analysis of SARS-CoV-2 strains among Indians returning from Italy, Iran & China, & Italian tourists in India	unknown	http://www.ijmr.org.in/article.asp?issn=0971-5916;year=2020;volume=151;issue=2;spage=255;epage=260;aulast=Potdar	India/UN-3118/2020,India/UN-3239/2020
Abdul Latif Khan et al	1	unknown	unknown	unknown	Oman/6990/2020
Keith Durkin et al B	4	A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages	unknown	https://dx.doi.org/10.1101/2020.05.05.078758	Belgium/ULG-10058/2020,Belgium/ULG-10051/2020,Belgium/ULG-10115/2020,Belgium/ULG-10044/2020
Olympia E. Anastasiou et al	1	unknown	unknown	unknown	Germany/NW-HHU-195/2020
Beil J. et al	4	unknown	unknown	unknown	Germany/SN-DcGC-L56893/2020,Germany/SN-DcGC-L62676/2020,Germany/SN-DcGC-L62668/2020,Germany/SN-DcGC-L62673/2020
Barbara Bartolini et al	4	unknown	unknown	unknown	Italy/LOM-INMI-BG-5825/2020,Italy/LAZ-INMI-51/2020,Italy/LAZ-INMI-26/2020,Italy/LAZ-INMI-29/2020
Bagnarelli et al	3	unknown	unknown	unknown	Italy/MAR-UnivPM-71205/2020,Italy/MAR-UnivPM-73702/2020,Italy/MAR-UnivPM-73696/2020
Martina Rueca et al	2	unknown	unknown	unknown	Italy/LOM-INMI-BG-9225/2020,Italy/LAZ-INMI-48/2020
Cesare E.M. Gruber et al B	6	unknown	unknown	unknown	Italy/LOM-INMI-10734/2020,Italy/LOM-INMI-9206/2020,Italy/LOM-INMI-13221/2020,Italy/LAZ-INMI-37/2020,Italy/LAZ-INMI-39/2020,Italy/LAZ-INMI-27/2020
Paola Stefanelli et al B	7	unknown	unknown	unknown	Italy/ABR-IZSGC-484/2020,Italy/TAA-AMVRC-2629/2020,Italy/MAR-ISS-2330/2020,Italy/BAS-ISS-6707/2020,Italy/BAS-ISS-6708/2020,Italy/MOL-AMVRC-2389/2020,Italy/AVA-AMVRC-4870/2020
Mercedes Pérez Ruiz et al	2	unknown	unknown	unknown	Spain/AN-IBV-002926/2020,Spain/AN-IBV-006126/2020
Oleg V. Pyankov et al	6	unknown	unknown	unknown	Russia/Moscow-62501/2020,Russia/Moscow-62505/2020,Russia/Samara-73406/2020,Russia/Buryatia-84508/2020,Russia/Buryatia-88903/2020,Russia/Buryatia-87104/2020
Belén Prado-Vivar et al	44	unknown	unknown	unknown	Ecuador/USFQ-150/2020,Ecuador/USFQ-139/2020,Ecuador/USFQ-563/2020,Ecuador/USFQ-533/2020,Ecuador/USFQ-531/2020,Ecuador/USFQ-539/2020,Ecuador/USFQ-026/2020,Ecuador/USFQ-113/2020,Ecuador/USFQ-224/2020,Ecuador/USFQ-222/2020,Ecuador/USFQ-204/2020,Ecuador/USFQ-199/2020,Ecuador/USFQ-196/2020,Ecuador/USFQ-127/2020,Ecuador/USFQ-126/2020,Ecuador/USFQ-344/2020,Ecuador/USFQ-1112/2020,Ecuador/USFQ-110/2020,Ecuador/USFQ-039/2020,Ecuador/USFQ-737/2021,Ecuador/USFQ-582/2021,Ecuador/USFQ-578/2021,Ecuador/USFQ-346/2020,Ecuador/USFQ-405/2020,Ecuador/USFQ-585/2021,Ecuador/USFQ-721/2021,Ecuador/USFQ-712/2021,Ecuador/USFQ-577/2020,Ecuador/USFQ-118/2020,Ecuador/USFQ-119/2020,Ecuador/USFQ-109/2020,Ecuador/USFQ-108/2020,Ecuador/USFQ-105/2020,Ecuador/USFQ-558/2020,Ecuador/USFQ-572/2020,Ecuador/USFQ-564/2020,Ecuador/USFQ-568/2020,Ecuador/USFQ-065/2020,Ecuador/USFQ-147/2020,Ecuador/USFQ-054/2020,Ecuador/USFQ-066/2020,Ecuador/USFQ-253/2020,Ecuador/USFQ-120/2020,Ecuador/USFQ-433/2020
Silvia Fillo et al	4	unknown	unknown	unknown	Italy/LOM-ASST-AMC2-1245/2020,Italy/LAZ-AMC-7-2253/2020,Italy/CAM-AMC-13-5287/2020,Italy/SAR-ATS-AMC1-4634/2020
Linus Hammar et al	1	unknown	unknown	unknown	Sweden/20-05469/2020
Annika Nilsson et al	3	unknown	unknown	unknown	Sweden/20-05448/2020,Sweden/20-06468/2020,Sweden/20-07237/2020
Lars Steinbrück et al	2	unknown	unknown	unknown	Germany/NI-IOV-60140220/2020,Germany/NI-IOV-60140387/2020
Tim Holzer et al	2	unknown	unknown	unknown	USA/IN-Lilly-IPB0173-02bc19/2020,USA/IN-Lilly-IPB0173-05bc12/2020
Nguyen Thi Tam et al	14	unknown	unknown	unknown	Vietnam/VNHN_2406/2020,Vietnam/VNHN_4864/2020,Vietnam/VNHN_4958/2020,Vietnam/VNHN_4806/2020,Vietnam/VNHN_3096/2020,Vietnam/VNHN_0554/2020,Vietnam/VNHN_4851/2020,Vietnam/VNHN_0299/2020,Vietnam/VNHN_4189/2020,Vietnam/VNHN_4868/2020,Vietnam/VNHN_022/2020,Vietnam/VNHN_026/2020,Vietnam/VNHN_4875/2020,Vietnam/VNHN_5152/2020
Andrea Macias et al	3	unknown	unknown	unknown	Ecuador/USFQ-214/2020,Ecuador/USFQ-523/2020,Ecuador/USFQ-249/2020
Juan José Guadalupe et al	4	unknown	unknown	unknown	Ecuador/USFQ-184/2020,Ecuador/USFQ-177/2020,Ecuador/USFQ-188/2020,Ecuador/USFQ-162/2020
Gvantsa Chanturia et al	2	unknown	unknown	unknown	Georgia/Tb-712/2020,Georgia/Tb-1679/2020
Wbeimar Aguilar-Jimenez et al	1	unknown	unknown	unknown	Colombia/ANT-UdeA-200325-01/2020
Sergio Buenestado Serrano et al	4	unknown	unknown	unknown	Spain/M-20191593/2020,Spain/M-20224207/2020,Spain/MD-HGUGM-21090477/2021,Spain/MD-HGUGM-20517528/2020
Alberto Delgado-Iribarren et al	2	unknown	unknown	unknown	Spain/MD-IBV-97010097/2020,Spain/MD-IBV-97010011/2020
Kelly Conde et al	1	unknown	unknown	unknown	Spain/GA-USC-012/2020
Andres Moreira-Soto et al	11	unknown	unknown	unknown	CostaRica/CRV-0019/2020,CostaRica/CRV-0013/2020,CostaRica/CRV-0012/2020,CostaRica/CRV-0022/2020,CostaRica/CRV-0010/2020,CostaRica/CRV-0021/2020,CostaRica/CRV-0017/2020,CostaRica/CRV-0018/2020,CostaRica/CRV-0024/2020,CostaRica/CRV-0020/2020,CostaRica/CRV-0023/2020
Katherine Laiton-Donato et al B	4	Substitutions in Spike and Nucleocapsid proteins of SARS-CoV-2 circulating in Colombia	unknown	https://dx.doi.org/10.1101/2020.06.02.20120782	Colombia/ANT-INS-82457/2020,Colombia/VAC-INS-81251/2020,Colombia/VAC-INS-81279/2020,Colombia/SAN-INS-94514/2020
Nabaes Jodar et al B	5	COVID-19 in Latin America: Contrasting phylodynamic inference with epidemiological surveillance.	unknown	https://dx.doi.org/10.1101/2020.05.23.20111443	Argentina/PAIS-A0007/2020,Argentina/PAIS-A0013/2020,Argentina/PAIS-A0009/2020,Argentina/PAIS-A0016/2020,Argentina/PAIS-A0011/2020
Elisa Martró et al	2	unknown	unknown	unknown	Spain/CT-IBV-005475/2020,Spain/CT-IBV-97009555/2020
Fabian Aguilar et al	3	unknown	unknown	unknown	Ecuador/USFQ-209/2020,Ecuador/USFQ-208/2020,Ecuador/USFQ-527/2020
Dr Ndodo Nnaemeka et al	11	unknown	unknown	unknown	Nigeria/NCDC-FCT-9i/2021,Nigeria/NCDC-FCT-10i/2021,Nigeria/NCDC-FCT-11G/2021,Nigeria/NCDC-FCT-11i/2021,Nigeria/NCDC-FCT-6i/2021,Nigeria/NCDC-FCT-7i/2021,Nigeria/NCDC-FCT-4i/2021,Nigeria/NCDC-FCT-10G/2021,Nigeria/NCDC-08/2020,Nigeria/NCDC-FCT-5i/2021,Nigeria/NCDC-9d/2020
Chandanamali Punchihewa et al	4	unknown	unknown	unknown	SriLanka/Genelabs-CA53464/2021,SriLanka/Genelabs-CA35154/2020,SriLanka/Genelabs-CA54589/2021,SriLanka/Genelabs-CA4755/2020
Monica Tallarita et al	2	unknown	unknown	unknown	Italy/LOM-Pavia-37545/2020,Italy/LOM-Pavia-38891/2020
Alla Mironenko et al	19	unknown	unknown	unknown	Ukraine/Vinnytsia_12/2020,Ukraine/Rivne_55/2020,Ukraine/Uzhgorod_36/2020,Ukraine/Ivano-Frankivsk-1431/2021,Ukraine/Lviv-857/2020,Ukraine/Kyiv_58/2020,Ukraine/Ivano-Frankivsk-706/2020,Ukraine/Kharkiv-877/2020,Ukraine/Kharkiv-782/2020,Ukraine/Kharkiv-705/2020,Ukraine/Kharkiv-879/2020,Ukraine/Kyiv-785/2020,Ukraine/Kharkiv-817/2020,Ukraine/Chernivtsi_861/2020,Ukraine/Kharkiv-882/2020,Ukraine/Lutsk_824/2020,Ukraine/Lutsk-889/2020,Ukraine/Chernivtsi_860/2020,Ukraine/Ivano-Frankivsk-4/2020
Barbara Muehlemann et al et al	5	unknown	unknown	unknown	Germany/HE-ChVir22003/2020,Germany/un-ChVir21602/2020,Germany/un-ChVir21574/2020,Germany/un-ChVir21611/2020,Germany/un-ChVir21594/2020
Harper VanSteenhouse et al	20	unknown	unknown	unknown	Scotland/QEUH-9B86B1/2020,England/QEUH-9F51F3/2020,England/QEUH-136654F/2021,England/QEUH-13666C4/2021,Scotland/QEUH-1365D1B/2021,Scotland/QEUH-1366758/2021,Scotland/QEUH-1365CA5/2021,England/QEUH-1366952/2021,England/QEUH-EF33DC/2021,England/QEUH-B7FAE5/2020,England/QEUH-96F2D3/2020,England/QEUH-969BFC/2020,England/QEUH-7A8C2D/2020,England/QEUH-9C89E2/2020,England/QEUH-9653DA/2020,England/QEUH-76E0BE/2020,England/QEUH-5EF9E9/2020,England/QEUH-9D0F03/2020,England/QEUH-9CF15C/2020,England/QEUH-9A416C/2020
Sergi Castellano et al	3	unknown	unknown	unknown	England/LOND-12F00A4/2020,England/LOND-1263877/2020,England/LOND-1264DFF/2020
Rob Howes et al	22	unknown	unknown	unknown	England/CAMC-B0AF68/2020,England/CAMC-B0AEC5/2020,England/CAMC-1263ADB/2021,England/CAMC-12C9E31/2021,England/CAMC-12C19DE/2021,England/CAMC-11E8CBB/2021,England/CAMC-B52B30/2020,England/CAMC-BFB87E/2020,England/CAMC-B988CE/2020,England/CAMC-B51C10/2020,England/CAMC-B9AEBB/2020,England/CAMC-CB728E/2020,England/CAMC-C44286/2020,England/CAMC-990C53/2020,England/CAMC-9D237E/2020,England/CAMC-9D238D/2020,England/CAMC-B774FE/2020,England/CAMC-1323D73/2021,England/CAMC-AB1DB2/2020,England/CAMC-B0736F/2020,England/CAMC-B0A627/2020,England/CAMC-9451A9/2020
Maximilian Damagnez et al	25	unknown	unknown	unknown	Germany/NW-HHU-77/2020,Germany/NW-HHU-265/2020,Germany/NW-HHU-272/2020,Germany/NW-HHU-257/2020,Germany/NW-HHU-425/2020,Germany/NW-HHU-427/2020,Germany/NW-HHU-300/2020,Germany/NW-HHU-313/2020,Germany/NW-HHU-340/2020,Germany/NW-HHU-307/2020,Germany/NW-HHU-290/2020,Germany/NW-HHU-293/2020,Germany/NW-HHU-304/2020,Germany/NW-HHU-347/2020,Germany/NW-HHU-81/2020,Germany/NW-HHU-106/2020,Germany/NW-HHU-113/2020,Germany/NW-HHU-104/2020,Germany/NW-HHU-102/2020,Germany/NW-HHU-105/2020,Germany/NW-HHU-107/2020,Germany/NW-HHU-101/2020,Germany/NW-HHU-103/2020,Germany/NW-HHU-334/2020,Germany/NW-HHU-1049/2020
Ulrike Protzer et al	5	unknown	unknown	unknown	Germany/BAV-PL-virotum_R3PUW/2020,Germany/BAV-PL-virotum_JM6B8/2020,Germany/BAV-PL-virotum_EYEE4/2020,Germany/BAV-PL-virotum_RLEJM/2020,Germany/BAV-PL-virotum_I4H7W/2020
Piras Giovanna et al	4	unknown	unknown	unknown	Italy/SAR-0048/2020,Italy/SAR-0047/2020,Italy/SAR-ASSL-02/2020,Italy/SAR-ASSL-08/2020
Prof. Dr. Achim Kaasch et al	7	unknown	unknown	unknown	Germany/ST-MD526/2021,Germany/ST-MD489/2021,Germany/ST-MD554/2021,Germany/ST-MD494/2021,Germany/ST-MD254/2020,Germany/ST-MD207/2020,Germany/ST-MD248/2020
